ATMOSPHERIC PROFILES (AFTER COLUMN SCALING)

   I      Z       P       T       H2O      O3       CO2      CO       CH4      N2O      O2       NH3      NO       NO2      SO2      HNO3
         (KM)    (MB)    (K)   (                                             ATM CM / KM                                                )
   1   0.0000 1013.250 288.2000 1.08E+03 2.52E-03 3.13E+01 1.42E-02 1.61E-01 3.03E-02 1.98E+04 4.74E-05 2.84E-05 2.18E-06 2.84E-05 4.74E-06
   2   1.0000  898.800 281.7000 7.21E+02 2.53E-03 2.84E+01 1.25E-02 1.46E-01 2.76E-02 1.80E+04 4.29E-05 2.59E-05 1.98E-06 2.36E-05 5.12E-06
   3   2.0000  795.010 275.2000 6.91E+02 2.52E-03 2.57E+01 1.09E-02 1.32E-01 2.49E-02 1.63E+04 3.61E-05 2.34E-05 1.79E-06 1.84E-05 5.40E-06
   4   3.0000  701.210 268.7000 2.24E+02 2.33E-03 2.32E+01 9.49E-03 1.20E-01 2.25E-02 1.47E+04 2.67E-05 2.11E-05 1.62E-06 1.34E-05 5.57E-06
   5   4.0000  616.600 262.2000 1.37E+02 2.15E-03 2.09E+01 8.32E-03 1.08E-01 2.03E-02 1.33E+04 1.83E-05 1.90E-05 1.46E-06 9.26E-06 5.62E-06
   6   5.0000  540.480 255.7000 7.96E+01 2.15E-03 1.88E+01 7.43E-03 9.69E-02 1.82E-02 1.19E+04 1.16E-05 1.71E-05 1.31E-06 6.72E-06 5.56E-06
   7   6.0000  472.170 249.2000 4.73E+01 2.10E-03 1.69E+01 6.58E-03 8.68E-02 1.63E-02 1.07E+04 7.46E-06 1.53E-05 1.17E-06 4.96E-06 5.67E-06
   8   7.0000  411.050 242.7000 2.61E+01 2.29E-03 1.51E+01 5.69E-03 7.76E-02 1.46E-02 9.54E+03 4.51E-06 1.37E-05 1.05E-06 3.79E-06 5.75E-06
   9   8.0000  356.510 236.2000 1.49E+01 2.43E-03 1.34E+01 4.82E-03 6.90E-02 1.30E-02 8.50E+03 2.64E-06 1.22E-05 9.36E-07 2.93E-06 5.66E-06
  10   9.0000  308.000 229.7000 5.72E+00 3.31E-03 1.19E+01 3.95E-03 6.12E-02 1.15E-02 7.55E+03 1.36E-06 1.08E-05 8.38E-07 2.37E-06 5.53E-06
  11  10.0000  264.990 223.3000 2.24E+00 4.20E-03 1.06E+01 3.19E-03 5.39E-02 1.02E-02 6.69E+03 6.50E-07 9.60E-06 7.62E-07 1.95E-06 5.57E-06
  12  11.0000  226.990 216.8000 1.02E+00 6.07E-03 9.32E+00 2.53E-03 4.73E-02 8.86E-03 5.90E+03 3.08E-07 8.47E-06 7.40E-07 1.63E-06 5.70E-06
  13  12.0000  193.990 216.7000 4.60E-01 7.47E-03 7.97E+00 1.89E-03 4.01E-02 7.47E-03 5.04E+03 1.52E-07 7.24E-06 7.60E-07 1.35E-06 5.82E-06
  14  13.0000  165.790 216.7000 2.24E-01 7.93E-03 6.81E+00 1.31E-03 3.39E-02 6.29E-03 4.31E+03 6.44E-08 6.17E-06 9.18E-07 1.15E-06 5.69E-06
  15  14.0000  141.700 216.7000 1.05E-01 8.87E-03 5.82E+00 8.86E-04 2.87E-02 5.29E-03 3.69E+03 1.96E-08 5.20E-06 1.32E-06 9.94E-07 5.87E-06
